trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,outcome,pools_passing_acceptance,min_clear_rate,mean_clear_rate,mean_recapture_pct,std_recapture_pct,min_recapture_pct,max_recapture_pct,mean_gain_vs_v3_pp,min_gain_vs_v3_pp,mean_solver_payout_bps,total_trigger_events
10,1,10,0.5,2500,all four pools pass,4,1.0,1.0,99.811554852861,0.07502630555476904,99.68378845056569,99.87331853398281,66.90552025245283,47.26366032483356,9.987456994684473,7391
10,1,10,0.5,5000,all four pools pass,4,1.0,1.0,99.811554852861,0.07502630555476904,99.68378845056569,99.87331853398281,66.90552025245283,47.26366032483356,9.987456994684473,7391
10,1,10,1,2500,all four pools pass,4,1.0,1.0,99.811554852861,0.07502630555476904,99.68378845056569,99.87331853398281,66.90552025245283,47.26366032483356,9.987456994684473,7391
10,1,10,1,5000,all four pools pass,4,1.0,1.0,99.811554852861,0.07502630555476904,99.68378845056569,99.87331853398281,66.90552025245283,47.26366032483356,9.987456994684473,7391
10,1,10,5,2500,all four pools pass,4,1.0,1.0,99.811554852861,0.07502630555476904,99.68378845056569,99.87331853398281,66.90552025245283,47.26366032483356,9.987456994684473,7391
10,1,10,5,5000,all four pools pass,4,1.0,1.0,99.811554852861,0.07502630555476904,99.68378845056569,99.87331853398281,66.90552025245283,47.26366032483356,9.987456994684473,7391
10,5,30,0.5,2500,all four pools pass,4,1.0,1.0,99.70000447151128,5.715951122209863e-06,99.7,99.70001397843399,66.79396987110312,47.12907297354865,29.999538464670334,7414
10,5,30,0.5,5000,all four pools pass,4,1.0,1.0,99.70000447151128,5.715951122209863e-06,99.7,99.70001397843399,66.79396987110312,47.12907297354865,29.999538464670334,7414
10,5,30,1,2500,all four pools pass,4,1.0,1.0,99.70000447151128,5.715951122209863e-06,99.7,99.70001397843399,66.79396987110312,47.12907297354865,29.999538464670334,7414
10,5,30,1,5000,all four pools pass,4,1.0,1.0,99.70000447151128,5.715951122209863e-06,99.7,99.70001397843399,66.79396987110312,47.12907297354865,29.999538464670334,7414
10,5,30,5,2500,all four pools pass,4,1.0,1.0,99.70000447151128,5.715951122209863e-06,99.7,99.70001397843399,66.79396987110312,47.12907297354865,29.999538464670334,7414
10,5,30,5,5000,all four pools pass,4,1.0,1.0,99.70000447151128,5.715951122209863e-06,99.7,99.70001397843399,66.79396987110312,47.12907297354865,29.999538464670334,7414
